0.57, 0.34
0.53, 0.66
0.99, 0.58
0.73, 0.72
0.67, 0.79
0.64, 0.78
0.79, 0.24
0.88, 0.25
0.60, 0.50
0.12, 0.70
0.68, 0.31
0.72, 0.71
0.11, 0.54
0.61, 0.16
0.55, 0.26
0.63, 0.73
0.84, 0.83
0.93, 0.56
0.43, 0.06
0.35, 0.19
0.51, 0.73
0.71, 0.18
0.51, 0.61
0.31, 0.62
0.82, 0.26
0.30, 0.04
0.35, 0.47
0.08, 0.58
0.94, 0.37
0.12, 0.57
0.16, 0.45
0.81, 0.43
0.30, 0.12
0.49, 0.33
0.93, 0.19
0.43, 0.63
0.25, 0.19
0.64, 0.19
0.97, 0.74
0.04, 0.49
0.63, 0.61
0.63, 0.38
0.28, 0.96
0.21, 0.55
0.32, 0.37
0.22, 0.51
0.48, 0.96
0.07, 0.76
0.91, 0.07
0.93, 0.84
