0.32, 0.15
0.05, 0.23
0.96, 0.17
0.50, 0.69
0.53, 0.04
0.84, 0.53
0.76, 0.99
0.02, 0.10
0.94, 0.71
0.72, 0.46
0.59, 0.80
0.97, 0.82
0.45, 0.31
0.54, 0.72
0.49, 0.55
0.58, 0.68
0.55, 0.63
0.87, 0.49
0.65, 0.77
0.37, 0.82
0.75, 0.39
0.43, 0.86
0.86, 0.40
0.19, 0.76
0.16, 0.56
0.32, 0.89
0.99, 0.39
0.75, 0.74
0.25, 0.74
0.29, 0.88
0.30, 0.36
0.74, 0.75
0.84, 0.69
0.77, 0.80
0.51, 0.76
0.76, 0.18
0.10, 0.50
0.10, 0.30
0.00, 0.54
0.30, 0.76
0.39, 0.99
0.10, 0.81
0.63, 0.68
0.28, 0.61
0.09, 0.45
0.40, 0.47
0.24, 0.44
0.37, 0.34
0.31, 0.74
0.09, 0.69
0.33, 0.78
0.41, 0.43
0.92, 0.80
0.42, 0.70
0.42, 0.88
0.98, 0.07
0.46, 0.38
0.19, 0.05
0.80, 0.51
0.59, 0.08
0.03, 0.79
0.91, 0.95
0.56, 0.20
0.37, 0.90
0.28, 0.51
0.41, 0.93
0.13, 0.21
0.64, 0.65
0.75, 0.21
0.89, 0.64
0.29, 0.72
0.05, 0.27
0.10, 0.91
0.15, 0.96
0.02, 0.73
0.58, 0.49
0.76, 0.01
0.08, 0.85
0.80, 0.32
0.83, 0.82
0.39, 0.74
0.30, 0.04
0.18, 0.42
0.37, 0.79
0.69, 0.80
0.55, 0.33
0.70, 0.58
0.17, 0.52
0.77, 0.26
0.53, 0.23
0.19, 0.03
0.01, 0.35
0.20, 0.64
0.29, 0.21
0.26, 0.32
0.78, 0.27
0.70, 0.68
0.45, 0.24
0.92, 0.29
0.52, 0.87
