0.83, 0.44
0.82, 0.24
0.28, 0.25
0.03, 0.32
0.41, 0.88
0.47, 0.02
0.10, 0.01
0.22, 0.34
0.72, 0.68
0.05, 0.71
0.94, 0.07
0.80, 0.28
0.85, 0.19
0.82, 0.13
0.02, 0.84
0.12, 0.92
0.56, 0.80
0.15, 0.69
0.22, 0.43
0.49, 0.02
0.66, 0.88
0.37, 0.76
0.53, 0.34
0.10, 0.27
0.03, 0.23
0.82, 0.39
0.05, 0.56
0.71, 0.64
0.57, 0.25
0.19, 0.46
0.85, 0.30
0.71, 0.01
0.24, 0.35
0.29, 0.99
0.68, 0.21
0.23, 0.65
0.17, 0.44
0.22, 0.36
0.71, 0.65
0.20, 0.37
0.78, 0.10
0.04, 0.10
0.54, 0.48
0.70, 0.24
0.42, 0.76
0.91, 0.85
0.09, 0.60
0.39, 0.03
0.39, 0.65
0.49, 0.25
0.86, 0.66
0.95, 0.58
0.44, 0.94
0.22, 0.31
0.71, 0.03
0.85, 0.66
0.22, 0.79
0.65, 0.22
0.05, 0.41
0.59, 0.84
0.70, 0.17
0.93, 0.42
0.92, 0.59
1.00, 0.07
0.60, 0.58
0.46, 0.54
0.69, 0.71
0.04, 0.09
0.05, 0.19
0.20, 0.42
0.78, 0.95
0.34, 0.43
0.24, 0.48
0.40, 0.97
0.54, 0.65
0.94, 0.84
0.70, 0.27
0.53, 0.46
0.13, 0.40
0.41, 0.70
0.60, 0.26
0.87, 0.46
0.89, 0.28
0.08, 0.77
0.91, 0.57
0.70, 0.08
0.69, 0.93
0.35, 0.04
0.67, 0.94
0.08, 0.21
0.91, 0.83
0.71, 0.75
0.91, 0.35
0.96, 0.93
0.16, 0.05
0.09, 0.07
0.64, 0.21
0.62, 0.18
0.82, 0.33
0.54, 0.45
0.32, 0.24
0.78, 0.08
0.06, 0.27
0.80, 0.99
0.46, 0.09
0.41, 0.37
0.86, 0.94
0.34, 0.25
0.99, 0.10
0.15, 0.18
0.98, 0.02
0.21, 0.69
0.03, 0.42
0.99, 0.70
0.27, 0.21
0.35, 0.62
0.83, 0.24
0.86, 0.37
0.06, 0.60
0.36, 0.12
0.13, 0.93
0.40, 0.94
0.07, 0.32
0.28, 0.65
0.49, 0.70
